supplier,country,shipment_count,total_shipment_volume,average_delay,average_reliability,total_freight_cost,total_revenue_impact
SUP006,UAE,1,13076,8.00,0.59,336955.61,594390.96
SUP003,UAE,1,14360,9.00,0.55,345100.77,792229.65
SUP026,Oman,2,2766,11.50,0.74,209303.19,564504.40
SUP019,Qatar,1,7296,10.00,0.73,242568.99,392469.69
SUP029,Iraq,2,11445,7.00,0.64,359594.47,596099.16
SUP007,Saudi Arabia,2,14635,9.00,0.73,414419.13,823607.69
SUP024,Oman,4,45551,8.50,0.86,1106147.18,3283392.56
SUP017,UAE,1,9783,30.00,0.85,239304.42,992234.93
SUP019,India,3,26088,14.67,0.74,680326.97,2280396.29
SUP034,Germany,1,655,25.00,0.98,60127.69,598684.10
SUP035,Germany,3,23535,9.67,0.78,726027.22,1646906.07
SUP025,UAE,1,8068,24.00,0.84,282632.08,947488.83
SUP003,China,1,4190,8.00,0.65,143964.95,173010.27
SUP026,UAE,1,14335,25.00,0.78,319702.74,1298453.67
SUP044,Iraq,3,25078,22.67,0.75,718503.00,2753993.55
SUP025,Qatar,1,13416,10.00,0.91,335453.18,828709.91
SUP036,Kuwait,1,12785,6.00,0.76,319892.83,694694.81
SUP033,Oman,2,16205,19.00,0.75,386355.39,1546849.42
SUP036,Oman,2,19360,16.50,0.69,483787.77,1817982.89
SUP048,UAE,3,19324,11.67,0.72,566615.90,1619249.19
SUP040,UAE,1,1072,9.00,0.81,111066.39,307207.88
SUP021,China,2,14414,11.00,0.75,334182.24,1019652.46
SUP039,Oman,2,16770,8.00,0.85,472527.56,1014983.09
SUP038,Iraq,1,7316,14.00,0.90,221350.02,781073.99
SUP007,Oman,2,14708,9.00,0.83,434416.53,785607.97
SUP005,Germany,3,11767,8.67,0.69,433463.74,1173829.59
SUP014,India,1,4470,17.00,0.94,200747.30,541409.97
SUP035,Qatar,1,1489,8.00,0.70,133156.28,159537.89
SUP022,Qatar,2,8714,25.50,0.69,318560.87,1132307.03
SUP048,Iraq,1,10158,9.00,0.90,271368.91,734959.89
SUP032,China,5,46264,6.80,0.79,1176123.73,3169195.72
SUP037,Oman,5,47761,11.20,0.71,1204060.61,3645942.57
SUP015,Qatar,2,7802,8.50,0.73,223518.77,799880.22
SUP026,Germany,2,10781,8.50,0.71,300187.93,776305.85
SUP004,Germany,1,8865,22.00,0.84,183558.96,845122.93
SUP046,India,2,8013,10.00,0.92,314194.55,920942.77
SUP032,Kuwait,3,26627,8.67,0.62,728778.50,1953549.45
SUP009,Iraq,2,21298,3.50,0.99,496830.70,1223766.81
SUP029,Kuwait,1,13607,5.00,0.85,313742.19,889479.90
SUP038,Germany,1,13057,20.00,0.56,400090.59,1023763.48
SUP044,Singapore,1,597,9.00,0.70,123645.82,255705.50
SUP048,Kuwait,3,33544,23.00,0.83,797958.31,2859250.28
SUP013,Qatar,1,10286,1.00,0.70,224822.38,517101.35
SUP007,Iraq,2,15511,9.50,0.73,360913.69,1115882.14
SUP035,Saudi Arabia,2,12763,3.00,0.72,364816.69,732533.00
SUP025,Saudi Arabia,2,10582,8.50,0.79,300655.56,1131789.70
SUP009,Saudi Arabia,1,4250,27.00,0.82,166269.20,674141.49
SUP046,Iraq,2,7153,12.50,0.57,302863.65,967660.59
SUP017,Singapore,2,14269,11.50,0.60,324098.65,949033.97
SUP041,Singapore,2,7059,15.00,0.79,401988.99,995075.13
SUP025,India,1,4328,5.00,0.90,191740.28,397599.56
SUP027,Iraq,1,10473,7.00,0.82,233067.83,548008.84
SUP019,Germany,3,39551,12.67,0.61,880304.12,2629103.24
SUP050,Iraq,3,25130,4.33,0.69,553148.20,1716226.49
SUP032,Germany,1,11690,24.00,0.95,257323.46,1120124.22
SUP039,Kuwait,1,10765,5.00,0.64,296281.41,672855.23
SUP022,Kuwait,2,15333,21.50,0.84,369805.54,1727886.12
SUP023,UAE,3,12809,9.67,0.71,400200.10,1210403.93
SUP045,Germany,4,29373,11.00,0.65,808718.29,2271504.69
SUP039,Saudi Arabia,3,30231,9.33,0.77,819419.68,2099538.77
SUP014,Saudi Arabia,3,21132,14.00,0.64,570202.07,1918083.21
SUP030,Saudi Arabia,1,2017,11.00,0.61,131028.88,458483.42
SUP034,India,1,2605,9.00,0.72,105531.14,284273.83
SUP026,China,2,15199,5.00,0.81,433347.25,1216990.34
SUP009,Qatar,2,3747,16.50,0.89,227931.30,881840.23
SUP032,UAE,1,6306,3.00,0.73,207642.81,427359.89
SUP040,Saudi Arabia,2,21053,8.50,0.69,520534.98,1490991.46
SUP042,Oman,1,11746,7.00,0.69,229378.53,581011.61
SUP028,Oman,1,959,20.00,0.55,54425.14,352507.69
SUP043,Qatar,1,10588,13.00,0.82,195736.12,916770.53
SUP019,Kuwait,1,9531,4.00,0.53,157800.79,517274.94
SUP026,Saudi Arabia,3,24521,11.67,0.73,672829.91,2154978.22
SUP020,Kuwait,1,6425,14.00,0.77,223680.24,550659.71
SUP002,Kuwait,2,4121,12.50,0.83,220777.00,706717.15
SUP016,Germany,5,50345,15.00,0.81,1355313.09,3915381.69
SUP049,Iraq,2,10950,7.50,0.67,368694.93,1027978.77
SUP035,Oman,1,13319,17.00,0.71,309429.83,1157782.28
SUP011,China,1,6615,13.00,0.56,170012.60,609413.27
SUP024,India,1,6799,25.00,0.73,229162.02,912093.59
SUP048,Qatar,2,17954,10.50,0.76,416750.75,1594293.39
SUP037,India,1,12828,8.00,0.72,330099.69,915271.81
SUP023,Oman,3,25387,15.33,0.81,770105.78,2222813.68
SUP028,China,3,28346,6.67,0.86,763102.87,1909488.92
SUP001,China,2,12232,11.00,0.75,414495.74,1134024.97
SUP008,UAE,3,14225,15.67,0.64,429368.78,1759001.90
SUP037,UAE,1,11696,14.00,0.81,265428.85,906324.52
SUP038,India,1,12964,8.00,0.62,286268.62,771808.84
SUP016,China,2,7623,7.50,0.79,320138.25,810655.11
SUP014,Iraq,2,18896,12.00,0.68,457388.40,1485671.42
SUP044,Qatar,1,12141,6.00,0.51,256288.05,730930.90
SUP001,Saudi Arabia,3,23905,8.67,0.63,721748.39,1656595.86
SUP046,Qatar,1,10277,5.00,0.74,257164.19,541835.74
SUP045,China,1,13566,20.00,0.88,323481.59,1139959.54
SUP031,Kuwait,1,12698,9.00,0.89,313399.24,691999.71
SUP021,UAE,1,11740,15.00,0.63,283861.09,858361.73
SUP029,UAE,1,506,13.00,0.71,66527.14,200573.07
SUP018,Iraq,1,10141,26.00,0.55,241605.21,967310.29
SUP040,Kuwait,2,17184,15.50,0.65,462973.40,1641552.60
SUP022,Oman,2,6805,21.00,0.74,325690.34,991460.25
SUP037,Kuwait,2,15606,22.50,0.73,360117.64,1491514.14
SUP023,Iraq,1,10683,2.00,0.88,244766.78,581550.40
SUP022,China,2,24653,13.50,0.61,638728.20,2060470.71
SUP030,China,3,25513,11.33,0.71,672406.04,1963509.75
SUP022,Saudi Arabia,2,18816,10.00,0.68,570063.64,1259390.81
SUP047,Oman,2,7734,8.50,0.68,281792.45,686964.76
SUP033,Kuwait,4,26735,14.25,0.93,829149.87,2424968.06
SUP045,Singapore,1,14191,21.00,0.75,328942.14,934508.78
SUP018,Saudi Arabia,1,8380,6.00,0.64,170390.87,664918.13
SUP046,Singapore,2,11919,12.50,0.67,335403.56,1114169.25
SUP029,Germany,3,19185,13.33,0.82,480793.47,1877549.92
SUP042,China,1,842,16.00,0.55,83302.15,539926.92
SUP012,Oman,3,9513,11.00,0.79,295634.62,1353271.66
SUP018,Qatar,3,21105,19.00,0.63,680340.08,2345109.03
SUP036,India,2,15047,7.00,0.66,434440.79,849701.63
SUP014,Germany,2,14653,12.00,0.77,413151.99,1299705.96
SUP005,India,4,29699,20.25,0.88,843266.53,3260086.30
SUP040,Germany,1,6274,4.00,0.67,190841.78,474472.57
SUP038,Kuwait,1,8111,6.00,0.67,217469.22,660844.20
SUP013,Oman,1,4240,31.00,0.52,154336.53,1079395.88
SUP017,China,4,13876,21.25,0.64,489746.27,2728608.50
SUP027,Saudi Arabia,1,8044,3.00,0.61,213642.46,300048.99
SUP020,UAE,1,3490,2.00,0.71,153212.67,248634.43
SUP002,Saudi Arabia,2,8672,22.00,0.82,302487.07,1333488.68
SUP050,Saudi Arabia,1,14351,12.00,0.87,322557.00,964429.69
SUP024,Germany,2,17067,13.00,0.76,407582.99,1141830.02
SUP026,India,1,14077,32.00,0.52,312421.93,1329668.47
SUP049,Oman,4,23523,13.25,0.74,796305.16,2571303.76
SUP035,Iraq,4,35217,15.75,0.78,1035353.05,2827407.37
SUP047,Iraq,3,16213,18.00,0.77,541608.96,1460934.70
SUP039,Singapore,3,24029,9.33,0.69,608214.53,1809251.01
SUP020,Iraq,1,10930,9.00,0.58,304438.62,552948.24
SUP019,Saudi Arabia,1,6746,29.00,0.79,239270.80,947185.85
SUP036,China,1,7499,8.00,0.75,200806.42,559938.76
SUP025,Germany,1,1630,17.00,0.58,60046.34,439070.89
SUP003,Germany,2,11001,3.50,0.89,349849.52,748787.47
SUP035,India,2,7679,9.00,0.76,214251.44,576800.15
SUP028,Germany,2,11016,15.50,0.74,344874.38,1011689.74
SUP042,Iraq,4,20921,22.75,0.74,640028.55,2778658.11
SUP036,Singapore,2,11238,9.50,0.74,292026.39,816731.19
SUP026,Singapore,4,30503,12.00,0.72,897841.23,2492760.00
SUP038,Qatar,1,12139,2.00,0.61,303136.58,688371.76
SUP038,China,1,5078,3.00,0.79,177208.90,253271.40
SUP002,Qatar,1,10390,17.00,0.85,266560.41,967805.07
SUP036,Qatar,2,22276,13.50,0.82,583911.08,1490936.21
SUP015,Iraq,2,12081,9.00,0.88,430478.73,840231.48
SUP029,Qatar,1,1278,3.00,0.91,59883.17,83874.19
SUP033,Qatar,3,25326,15.67,0.75,654593.82,2334958.90
SUP038,Saudi Arabia,1,6968,27.00,0.59,217910.26,916737.80
SUP041,Iraq,2,19158,17.00,0.75,476295.14,1593493.80
SUP028,UAE,3,28534,5.00,0.76,719462.12,1806749.04
SUP028,India,4,16905,16.25,0.73,625214.82,2186492.12
SUP018,Singapore,1,8351,7.00,0.87,236982.82,846715.87
SUP012,India,1,10866,3.00,0.92,278981.48,766162.77
SUP042,India,1,1087,10.00,0.52,137074.89,186115.44
SUP017,India,1,2997,18.00,0.63,145896.30,415668.50
SUP035,Singapore,5,34362,10.60,0.64,977809.95,2641506.94
SUP009,India,1,9905,10.00,0.89,308106.78,452618.24
